"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","s_drs","outs_above_average","fielder_name","m_drs","delta_drs","pos_to_neg","neg_to_pos"
"Rumfield, TJ",681198,"Rockies",2026,"1B",4,6,"TJ Rumfield",3.65,-0.35,0,0
"Lowe, Josh",666139,"Angels",2026,"LF",2,2,"Josh Lowe",1.65,-0.35,0,0
"Rafaela, Ceddanne",678882,"Red Sox",2026,"CF",14,15,"Ceddanne Rafaela",13.58,-0.42,0,0
"Sanoja, Javier",691594,"Marlins",2026,"3B",3,4,"Javier Sanoja",2.52,-0.48,0,0
"Merrill, Jackson",701538,"Padres",2026,"CF",4,5,"Jackson Merrill",3.49,-0.51,0,0
"Mangum, Jake",663968,"Pirates",2026,"CF",2,2,"Jake Mangum",1.43,-0.57,0,0
"Torres, Gleyber",650402,"Tigers",2026,"2B",0,-1,"Gleyber Torres",-0.59,-0.59,0,0
"Nimmo, Brandon",607043,"Rangers",2026,"RF",-3,-3,"Brandon Nimmo",-3.61,-0.61,0,0
"Reynolds, Bryan",668804,"Pirates",2026,"LF",-3,-3,"Bryan Reynolds",-3.61,-0.61,0,0
"Hoerner, Nico",663538,"Cubs",2026,"2B",7,9,"Nico Hoerner",6.37,-0.63,0,0
"Keith, Colt",690993,"Tigers",2026,"3B",0,0,"Colt Keith",-0.64,-0.64,0,0
"Grisham, Trent",663757,"Yankees",2026,"CF",-5,-6,"Trent Grisham",-5.84,-0.84,0,0
"Foscue, Justin",679822,"Rangers",2026,"2B",2,3,"Justin Foscue",1.02,-0.98,0,0
"Tovar, Ezequiel",678662,"Rockies",2026,"SS",0,-1,"Ezequiel Tovar",-1.01,-1.01,0,0
"Sheets, Gavin",657757,"Padres",2026,"1B",-4,-4,"Gavin Sheets",-5.02,-1.02,0,0
"Ewing, A.J.",805999,"Mets",2026,"CF",5,6,"A.J. Ewing",3.98,-1.02,0,0
"Grissom, Vaughn",687093,"Angels",2026,"2B",-6,-8,"Vaughn Grissom",-7.08,-1.08,0,0
"Allen, Nick",669397,"Astros",2026,"SS",-1,-1,"Nick Allen",-2.09,-1.09,0,0
"Story, Trevor",596115,"Red Sox",2026,"SS",-2,-3,"Trevor Story",-3.09,-1.09,0,0
"Waldschmidt, Ryan",814439,"D-backs",2026,"CF",2,2,"Ryan Waldschmidt",0.86,-1.14,0,0
"Mayer, Marcelo",691785,"Red Sox",2026,"2B",0,0,"Marcelo Mayer",-1.16,-1.16,0,0
"Rojas, Miguel",500743,"Dodgers",2026,"2B",2,3,"Miguel Rojas",0.81,-1.19,0,0
"Hernández, Teoscar",606192,"Dodgers",2026,"LF",-5,-5,"Teoscar Hernandez",-6.21,-1.21,0,0
"Crow-Armstrong, Pete",691718,"Cubs",2026,"CF",22,24,"Pete Crow-Armstrong",20.75,-1.25,0,0
"Straw, Myles",664702,"Blue Jays",2026,"CF",5,5,"Myles Straw",3.63,-1.37,0,0
"Massey, Michael",686681,"Royals",2026,"2B",6,8,"Michael Massey",4.56,-1.44,0,0
"Naylor, Josh",647304,"Mariners",2026,"1B",1,1,"Josh Naylor",-0.59,-1.59,0,1
"Edman, Tommy",669242,"Dodgers",2026,"2B",3,4,"Tommy Edman",1.38,-1.62,0,0
"Vivas, Jorbit",678391,"Nationals",2026,"2B",2,3,"Jorbit Vivas",0.38,-1.62,0,0
"Lee, Jung Hoo",808982,"Giants",2026,"RF",-4,-5,"Jung Hoo Lee",-5.66,-1.66,0,0
"DeLuca, Jonny",676356,"Rays",2026,"RF",9,10,"Jonny DeLuca",7.3,-1.7,0,0
"Aranda, Jonathan",666018,"Rays",2026,"1B",0,0,"Jonathan Aranda",-1.79,-1.79,0,0
"Gorman, Nolan",669357,"Cardinals",2026,"3B",1,1,"Nolan Gorman",-0.8,-1.8,0,1
"Gilbert, Drew",687551,"Giants",2026,"CF",2,3,"Drew Gilbert",0.12,-1.88,0,0
"Manzardo, Kyle",700932,"Guardians",2026,"1B",-4,-5,"Kyle Manzardo",-5.95,-1.95,0,0
"Gonzales, Nick",693304,"Pirates",2026,"3B",-8,-11,"Nick Gonzales",-9.96,-1.96,0,0
"Goldschmidt, Paul",502671,"Yankees",2026,"1B",4,5,"Paul Goldschmidt",1.96,-2.04,0,0
"Lowe, Brandon",664040,"Pirates",2026,"2B",9,12,"Brandon Lowe",6.87,-2.13,0,0
"Sánchez, Jesús",660821,"Blue Jays",2026,"LF",-7,-7,"Jesus Sanchez",-9.23,-2.23,0,0
"Burger, Jake",669394,"Rangers",2026,"1B",1,1,"Jake Burger",-1.38,-2.38,0,1
"Bohm, Alec",664761,"Phillies",2026,"3B",-6,-8,"Alec Bohm",-8.39,-2.39,0,0
"Ward, Taylor",621493,"---",2026,"LF",-1,-1,"Taylor Ward",-3.44,-2.44,0,0
"Fermín, José",665877,"Cardinals",2026,"3B",-1,-1,"Jose Fermin",-3.47,-2.47,0,0
"Kreidler, Ryan",668952,"Twins",2026,"SS",2,2,"Ryan Kreidler",-0.5,-2.5,0,1
"Raley, Luke",670042,"Mariners",2026,"RF",-6,-6,"Luke Raley",-8.53,-2.53,0,0
"Trout, Mike",545361,"Angels",2026,"CF",-4,-4,"Mike Trout",-6.54,-2.54,0,0
"Rodríguez, Julio",677594,"Mariners",2026,"CF",-2,-2,"Julio Rodriguez",-4.58,-2.58,0,0
"Rice, Ben",700250,"Yankees",2026,"1B",-5,-6,"Ben Rice",-7.6,-2.6,0,0
"Bauers, Jake",641343,"Brewers",2026,"1B",-8,-11,"Jake Bauers",-10.6,-2.6,0,0
"Song, Sung-Mun",823550,"Padres",2026,"2B",2,3,"Sung-Mun Song",-0.63,-2.63,0,1
"Rengifo, Luis",650859,"---",2026,"3B",-1,-2,"Luis Rengifo",-3.64,-2.64,0,0
"Myers, Dane",667472,"Reds",2026,"CF",0,0,"Dane Myers",-2.67,-2.67,0,0
"Seager, Corey",608369,"Rangers",2026,"SS",1,2,"Corey Seager",-1.71,-2.71,0,1
"Keaschall, Luke",807712,"Twins",2026,"2B",-9,-11,"Luke Keaschall",-11.73,-2.73,0,0
"Karros, Kyle",691720,"Rockies",2026,"3B",0,0,"Kyle Karros",-2.76,-2.76,0,0
"Doyle, Brenton",686668,"---",2026,"CF",-1,-1,"Brenton Doyle",-3.81,-2.81,0,0
"Buxton, Byron",621439,"Twins",2026,"CF",3,3,"Byron Buxton",0.12,-2.88,0,0
"Kurtz, Nick",701762,"Athletics",2026,"1B",-2,-3,"Nick Kurtz",-4.92,-2.92,0,0
"Devers, Rafael",646240,"Giants",2026,"1B",-1,-2,"Rafael Devers",-3.93,-2.93,0,0
"Ramírez, José",608070,"Guardians",2026,"3B",2,2,"Jose Ramirez",-0.96,-2.96,0,1
"Wetherholt, JJ",802139,"Cardinals",2026,"2B",16,22,"JJ Wetherholt",13.04,-2.96,0,0
"Contreras, Willson",575929,"Red Sox",2026,"1B",1,1,"Willson Contreras",-2,-3,0,1
"Freeman, Tyler",671289,"Rockies",2026,"RF",-7,-8,"Tyler Freeman",-10.04,-3.04,0,0
"Mitchell, Garrett",669003,"Brewers",2026,"CF",5,5,"Garrett Mitchell",1.92,-3.08,0,0
"McKinstry, Zach",656716,"Tigers",2026,"2B",6,7,"Zach McKinstry",2.83,-3.17,0,0
"Jordan, Blaze",691458,"Cardinals",2026,"3B",1,2,"Blaze Jordan",-2.25,-3.25,0,1
"Young, Jacob",696285,"Nationals",2026,"CF",10,11,"Jacob Young",6.64,-3.36,0,0
"Marte, Ketel",606466,"D-backs",2026,"2B",2,2,"Ketel Marte",-1.46,-3.46,0,1
"Carroll, Corbin",682998,"D-backs",2026,"RF",9,10,"Corbin Carroll",5.45,-3.55,0,0
"Stewart, Sal",701398,"Reds",2026,"1B",0,0,"Sal Stewart",-3.69,-3.69,0,0
"Mullins, Cedric",656775,"Rays",2026,"CF",10,11,"Cedric Mullins",6.29,-3.71,0,0
"Bazzana, Travis",683953,"Guardians",2026,"2B",-1,-1,"Travis Bazzana",-4.73,-3.73,0,0
"Garcia, Maikel",672580,"Royals",2026,"3B",5,6,"Maikel Garcia",1.24,-3.76,0,0
"Paredes, Isaac",670623,"Astros",2026,"3B",-1,-1,"Isaac Paredes",-4.81,-3.81,0,0
"Cruz, Oneil",665833,"Pirates",2026,"CF",-2,-2,"Oneil Cruz",-5.93,-3.93,0,0
"Stowers, Kyle",669065,"Marlins",2026,"1B",-1,-2,"Kyle Stowers",-4.93,-3.93,0,0
"Crawford, Justin",702222,"Phillies",2026,"CF",0,-1,"Justin Crawford",-3.98,-3.98,0,0
"Norby, Connor",681393,"---",2026,"1B",0,0,"Connor Norby",-3.99,-3.99,0,0
"Perdomo, Geraldo",672695,"D-backs",2026,"SS",9,12,"Geraldo Perdomo",4.91,-4.09,0,0
