"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","s_drs","outs_above_average","fielder_name","m_drs","delta_drs","pos_to_neg","neg_to_pos"
"Guerrero Jr., Vladimir",665489,"Blue Jays",2026,"1B",2,3,"Vladimir Guerrero",5.85,3.85,0,0
"Pasquantino, Vinnie",686469,"Royals",2026,"1B",0,0,"Vinnie Pasquantino",3.77,3.77,0,0
"Yastrzemski, Mike",573262,"Braves",2026,"LF",-2,-2,"Mike Yastrzemski",1.77,3.77,1,0
"Vientos, Mark",668901,"Mets",2026,"1B",-6,-8,"Mark Vientos",-2.24,3.76,0,0
"Wood, James",695578,"Nationals",2026,"RF",-6,-6,"James Wood",-2.39,3.61,0,0
"Lee, Brooks",686797,"Twins",2026,"3B",-2,-3,"Brooks Lee",1.48,3.48,1,0
"Langford, Wyatt",694671,"Rangers",2026,"LF",3,3,"Wyatt Langford",6.28,3.28,0,0
"Clemens, Kody",665019,"Twins",2026,"2B",1,2,"Kody Clemens",4.2,3.2,0,0
"Sogard, Nick",686765,"Red Sox",2026,"2B",0,0,"Nick Sogard",3.2,3.2,0,0
"Crews, Dylan",686611,"Nationals",2026,"RF",2,3,"Dylan Crews",5.19,3.19,0,0
"Lindor, Francisco",596019,"Mets",2026,"SS",-2,-2,"Francisco Lindor",1.12,3.12,1,0
"France, Ty",664034,"Padres",2026,"1B",6,8,"Ty France",9.09,3.09,0,0
"Schmitt, Casey",669477,"Giants",2026,"3B",1,2,"Casey Schmitt",3.94,2.94,0,0
"Collins, Isaac",686555,"Royals",2026,"LF",-1,-1,"Isaac Collins",1.93,2.93,1,0
"Koss, Christian",683766,"Giants",2026,"3B",3,3,"Christian Koss",5.9,2.9,0,0
"Freeman, Freddie",518692,"Dodgers",2026,"1B",0,1,"Freddie Freeman",2.89,2.89,0,0
"Acuña, Luisangel",682668,"White Sox",2026,"SS",-1,-1,"Luisangel Acuna",1.85,2.85,1,0
"Betts, Mookie",605141,"Dodgers",2026,"SS",7,10,"Mookie Betts",9.82,2.82,0,0
"Bellinger, Cody",641355,"Yankees",2026,"LF",6,7,"Cody Bellinger",8.75,2.75,0,0
"Montgomery, Braden",695731,"White Sox",2026,"RF",-1,-1,"Braden Montgomery",1.45,2.45,1,0
"Chourio, Jackson",694192,"Brewers",2026,"LF",4,4,"Jackson Chourio",6.44,2.44,0,0
"Lile, Daylen",695734,"Nationals",2026,"LF",1,1,"Daylen Lile",3.27,2.27,0,0
"Murakami, Munetaka",808959,"White Sox",2026,"1B",0,0,"Munetaka Murakami",2.27,2.27,0,0
"Siri, Jose",642350,"Angels",2026,"LF",0,0,"Jose Siri",2.24,2.24,0,0
"Hernández, Heriberto",681715,"Marlins",2026,"LF",2,2,"Heriberto Hernandez",4.22,2.22,0,0
"García Jr., Luis",671277,"---",2026,"1B",1,1,"Luis Garcia",3.21,2.21,0,0
